15
1;1;1;CAF;CAF-2;1;2;COP;COP-1;2;3;16;14;8;31;11;36;30;37;26;47;14;19;48;43;3;43;3;6;26;18;11;14;13;44;31;33;42;29;49;15;21;36;41;39;20;20;28;35;20;38
2;1;2;MOR;MOR-2;2;2;TRI;TRI-2;3;2;7;40;9;15;33;17;24;13;4;25;21;7;11;1;46;19;32;38;28;12;47;48;12;1;38;1;25;25;27;17;45;17;21;6;26;32;27;25;41;42
3;1;3;CAF;CAF-1;1;5;COP;COP-2;1;2;39;20;9;8;10;41;41;39;2;48;18;13;36;24;22;9;42;50;44;19;28;48;29;28;3;6;2;42;41;45;23;27;35;36;35;21;33;33;8;26
4;1;4;ORC;ORC-1;1;1;NEO;NEO-1;4;5;39;47;6;34;6;3;6;14;10;36;14;21;46;10;35;49;37;45;30;47;41;21;16;36;39;39;36;22;49;27;43;38;12;34;39;29;48;50;19;45
5;1;5;ORC;ORC-2;4;2;TRI;TRI-1;2;2;47;45;21;21;39;14;48;17;10;42;1;35;16;46;35;49;21;39;28;40;39;26;45;32;11;4;40;9;27;19;24;24;17;9;20;25;45;35;47;3
6;2;1;CAF;CAF-1;4;1;NEO;NEO-1;5;3;8;49;6;20;25;50;1;21;42;25;4;24;9;19;7;42;46;21;9;10;25;4;1;39;43;49;28;14;30;18;6;19;30;21;50;23;41;23;15;17
7;2;2;MOR;MOR-1;1;4;COP;COP-2;5;5;2;21;13;12;41;27;50;47;37;13;41;2;28;14;43;13;46;1;48;36;20;25;24;17;6;3;50;36;3;42;20;2;38;30;31;16;3;13;24;46
8;2;3;CAF;CAF-2;3;4;TRI;TRI-2;4;1;50;5;35;17;18;11;15;19;2;36;2;39;20;25;48;38;2;24;42;15;19;15;17;3;50;2;36;45;41;4;34;10;10;24;32;25;35;7;10;8
9;2;4;ORC;ORC-1;2;2;COP;COP-1;5;5;17;33;36;20;9;43;23;48;30;3;14;40;46;2;21;27;26;36;9;30;25;3;40;32;17;37;38;16;23;22;27;21;23;37;25;29;4;40;48;22
10;2;5;ORC;ORC-2;5;5;NEO;NEO-2;4;3;45;22;32;15;32;20;2;10;41;36;50;28;35;33;45;14;49;11;48;2;27;35;23;30;41;29;48;26;17;50;45;19;32;48;5;8;21;26;42;41
11;3;1;CAF;CAF-1;3;2;TRI;TRI-1;1;1;43;47;7;44;7;6;25;33;1;3;16;49;41;23;44;33;1;7;35;8;14;41;40;24;47;26;41;47;47;26;26;3;24;17;12;49;36;24;40;21
12;3;2;MOR;MOR-1;2;4;TRI;TRI-2;2;3;40;17;27;3;46;44;18;11;13;24;20;49;46;35;21;29;43;25;36;10;17;14;4;37;35;4;13;5;20;13;31;32;36;5;47;41;13;24;4;27
13;3;3;MOR;MOR-2;4;3;NEO;NEO-1;5;4;2;43;49;4;24;37;43;41;47;16;42;42;12;42;27;18;3;29;37;48;41;10;7;26;23;17;37;41;15;12;2;21;31;29;12;5;18;40;2;50
14;3;4;CAF;CAF-2;2;2;COP;COP-1;1;5;44;29;33;29;13;48;48;14;10;10;3;30;15;2;44;47;15;13;31;43;46;30;43;28;38;20;16;48;47;17;17;27;12;36;35;2;7;14;11;15
15;3;5;ORC;ORC-2;4;3;COP;COP-2;3;2;29;26;1;3;13;4;25;28;18;42;15;15;40;18;22;48;13;48;33;22;20;43;23;43;5;5;26;45;6;30;49;37;41;29;2;28;9;16;12;32
DUMP
